frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
40,0,0.780,0.98,1,0.02,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.53,0.00,0.00,0.23,0.32,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
41,0,0.800,0.98,1,0.00,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.51,0.00,0.00,0.21,0.27,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
42,0,0.820,0.98,1,0.03,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.57,0.00,0.00,0.15,0.24,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
43,0,0.840,0.98,1,0.03,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.55,0.00,0.00,0.20,0.30,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
44,0,0.860,0.98,1,0.03,0.52,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.09,0.49,0.00,0.00,0.24,0.37,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
45,0,0.880,0.98,1,0.00,0.49,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.09,0.44,0.00,0.00,0.26,0.44,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
46,0,0.900,0.98,1,0.00,0.54,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.03,0.38,0.00,0.00,0.25,0.45,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
47,0,0.920,0.98,1,0.00,0.45,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.07,0.39,0.00,0.00,0.24,0.48,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
48,0,0.940,0.98,1,0.00,0.44,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.00,0.07,0.41,0.00,0.00,0.28,0.52,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
49,0,0.960,0.98,1,0.00,0.45,0.00,0.06,0.00,0.00,0.03,0.00,0.00,0.00,0.15,0.47,0.00,0.00,0.26,0.55,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
50,0,0.980,0.98,1,0.05,0.54,0.00,0.18,0.00,0.00,0.02,0.00,0.00,0.00,0.14,0.45,0.00,0.00,0.20,0.56,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
51,0,1.000,0.98,1,0.11,0.54,0.00,0.15,0.00,0.00,0.02,0.00,0.00,0.00,0.16,0.40,0.00,0.00,0.17,0.45,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
52,0,1.020,0.98,1,0.11,0.37,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.31,0.01,0.00,0.18,0.39,0.07,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
53,0,1.040,0.98,1,0.06,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.27,0.06,0.00,0.21,0.26,0.19,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
54,0,1.060,0.98,1,0.01,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.29,0.09,0.00,0.17,0.20,0.27,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
55,0,1.080,0.98,1,0.07,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.34,0.09,0.00,0.19,0.16,0.21,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
56,0,1.100,0.98,1,0.11,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.38,0.06,0.00,0.21,0.21,0.08,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
57,0,1.120,0.98,1,0.14,0.29,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.37,0.07,0.00,0.23,0.24,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
58,0,1.140,0.98,1,0.12,0.23,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.32,0.08,0.00,0.18,0.23,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
59,0,1.160,0.98,1,0.07,0.24,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.37,0.08,0.00,0.11,0.29,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
60,0,1.180,0.98,1,0.03,0.21,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.43,0.04,0.00,0.03,0.29,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
61,0,1.200,0.98,1,0.00,0.14,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.49,0.02,0.00,0.00,0.30,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
62,0,1.220,0.98,1,0.00,0.11,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.47,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
63,0,1.240,0.98,1,0.00,0.20,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.43,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
64,0,1.260,0.98,1,0.00,0.30,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.42,0.00,0.02,0.01,0.38,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
65,0,1.280,0.98,1,0.00,0.33,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.41,0.00,0.03,0.01,0.43,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
66,0,1.300,0.98,1,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.43,0.00,0.04,0.01,0.52,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
67,0,1.320,0.98,1,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.46,0.00,0.04,0.00,0.57,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
68,0,1.340,0.98,1,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.45,0.00,0.04,0.00,0.58,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
69,0,1.360,0.98,1,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.43,0.00,0.02,0.00,0.56,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
70,0,1.380,0.98,1,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.01,0.00,0.55,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
71,0,1.400,0.98,1,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.50,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
72,0,1.420,0.98,1,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.03,0.00,0.00,0.39,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
73,0,1.440,0.98,1,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.12,0.00,0.02,0.26,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
74,0,1.460,0.98,1,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.14,0.00,0.02,0.17,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
75,0,1.480,0.98,1,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.11,0.01,0.02,0.13,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
76,0,1.500,0.98,1,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.04,0.03,0.00,0.09,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
77,0,1.520,0.98,1,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.07,0.03,0.00,0.12,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
78,0,1.540,0.98,1,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.07,0.02,0.00,0.19,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
79,0,1.560,0.98,1,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.05,0.00,0.00,0.27,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
80,0,1.580,0.98,1,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.29,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
81,0,1.600,0.98,1,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.02,0.30,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
82,0,1.620,0.98,1,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.02,0.27,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
83,0,1.640,0.98,1,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.02,0.23,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
84,0,1.660,0.98,1,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.01,0.14,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
85,0,1.680,0.98,1,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.10,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
86,0,1.700,0.98,1,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.03,0.17,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
87,0,1.720,0.98,1,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.04,0.18,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
